plan_id,cable_id,status,type,zone,a_device,a_interface,a_role,b_device,b_interface,b_role
23,3903,connected,,,compute-001,be0-port0,server,be-rail-leaf-01,E1/1/1,leaf
23,3904,connected,,,compute-001,be1-port0,server,be-rail-leaf-01,E1/1/2,leaf
23,3905,connected,,,compute-001,be2-port0,server,be-rail-leaf-01,E1/2/1,leaf
23,3906,connected,,,compute-001,be3-port0,server,be-rail-leaf-01,E1/2/2,leaf
23,3907,connected,,,compute-001,be4-port0,server,be-rail-leaf-01,E1/3/1,leaf
23,3908,connected,,,compute-001,be5-port0,server,be-rail-leaf-01,E1/3/2,leaf
23,3909,connected,,,compute-001,be6-port0,server,be-rail-leaf-01,E1/4/1,leaf
23,3910,connected,,,compute-001,be7-port0,server,be-rail-leaf-01,E1/4/2,leaf
23,3911,connected,,,compute-001,fe-p0,server,fe-leaf-01,E1/1/1,leaf
23,3912,connected,,,compute-001,fe-p1,server,fe-leaf-02,E1/1/1,leaf
23,3913,connected,,,compute-002,be0-port0,server,be-rail-leaf-01,E1/5/1,leaf
23,3914,connected,,,compute-002,be1-port0,server,be-rail-leaf-01,E1/5/2,leaf
23,3915,connected,,,compute-002,be2-port0,server,be-rail-leaf-01,E1/6/1,leaf
23,3916,connected,,,compute-002,be3-port0,server,be-rail-leaf-01,E1/6/2,leaf
23,3917,connected,,,compute-002,be4-port0,server,be-rail-leaf-01,E1/7/1,leaf
23,3918,connected,,,compute-002,be5-port0,server,be-rail-leaf-01,E1/7/2,leaf
23,3919,connected,,,compute-002,be6-port0,server,be-rail-leaf-01,E1/8/1,leaf
23,3920,connected,,,compute-002,be7-port0,server,be-rail-leaf-01,E1/8/2,leaf
23,3921,connected,,,compute-002,fe-p0,server,fe-leaf-01,E1/1/2,leaf
23,3922,connected,,,compute-002,fe-p1,server,fe-leaf-02,E1/1/2,leaf
23,3923,connected,,,compute-003,be0-port0,server,be-rail-leaf-01,E1/9/1,leaf
23,3924,connected,,,compute-003,be1-port0,server,be-rail-leaf-01,E1/9/2,leaf
23,3925,connected,,,compute-003,be2-port0,server,be-rail-leaf-01,E1/10/1,leaf
23,3926,connected,,,compute-003,be3-port0,server,be-rail-leaf-01,E1/10/2,leaf
23,3927,connected,,,compute-003,be4-port0,server,be-rail-leaf-01,E1/11/1,leaf
23,3928,connected,,,compute-003,be5-port0,server,be-rail-leaf-01,E1/11/2,leaf
23,3929,connected,,,compute-003,be6-port0,server,be-rail-leaf-01,E1/12/1,leaf
23,3930,connected,,,compute-003,be7-port0,server,be-rail-leaf-01,E1/12/2,leaf
23,3931,connected,,,compute-003,fe-p0,server,fe-leaf-01,E1/1/3,leaf
23,3932,connected,,,compute-003,fe-p1,server,fe-leaf-02,E1/1/3,leaf
23,3933,connected,,,compute-004,be0-port0,server,be-rail-leaf-01,E1/13/1,leaf
23,3934,connected,,,compute-004,be1-port0,server,be-rail-leaf-01,E1/13/2,leaf
23,3935,connected,,,compute-004,be2-port0,server,be-rail-leaf-01,E1/14/1,leaf
23,3936,connected,,,compute-004,be3-port0,server,be-rail-leaf-01,E1/14/2,leaf
23,3937,connected,,,compute-004,be4-port0,server,be-rail-leaf-01,E1/15/1,leaf
23,3938,connected,,,compute-004,be5-port0,server,be-rail-leaf-01,E1/15/2,leaf
23,3939,connected,,,compute-004,be6-port0,server,be-rail-leaf-01,E1/16/1,leaf
23,3940,connected,,,compute-004,be7-port0,server,be-rail-leaf-01,E1/16/2,leaf
23,3941,connected,,,compute-004,fe-p0,server,fe-leaf-01,E1/1/4,leaf
23,3942,connected,,,compute-004,fe-p1,server,fe-leaf-02,E1/1/4,leaf
23,3943,connected,,,compute-005,be0-port0,server,be-rail-leaf-01,E1/17/1,leaf
23,3944,connected,,,compute-005,be1-port0,server,be-rail-leaf-01,E1/17/2,leaf
23,3945,connected,,,compute-005,be2-port0,server,be-rail-leaf-01,E1/18/1,leaf
23,3946,connected,,,compute-005,be3-port0,server,be-rail-leaf-01,E1/18/2,leaf
23,3947,connected,,,compute-005,be4-port0,server,be-rail-leaf-01,E1/19/1,leaf
